Date, Open, High, Low, Close
03/22/21, 2287.93, 2294.04, 2258.70, 2266.84
03/19/21, 2267.65, 2298.04, 2247.57, 2287.55
03/18/21, 2335.83, 2340.55, 2262.07, 2267.59
03/17/21, 2315.14, 2339.28, 2289.84, 2336.39
03/16/21, 2360.13, 2360.13, 2304.97, 2319.52
03/15/21, 2352.79, 2360.17, 2337.13, 2360.17
03/12/21, 2337.23, 2354.20, 2325.66, 2352.79
03/11/21, 2287.94, 2338.55, 2287.94, 2338.54
03/10/21, 2246.96, 2299.46, 2246.96, 2285.68
03/09/21, 2204.80, 2261.64, 2204.80, 2245.06
03/08/21, 2192.65, 2233.34, 2192.48, 2202.99
