Date,Open,High,Low,Close,Adj Close,Volume
05-02-2016,"1,155.60","1,174.80","1,146.00","1,157.80","1,157.80",877
08-02-2016,"1,173.50","1,200.40","1,165.00","1,197.90","1,197.90",931
09-02-2016,"1,188.70","1,199.20","1,186.70","1,198.70","1,198.70",700
10-02-2016,"1,189.80","1,197.70","1,182.10","1,194.70","1,194.70",671
11-02-2016,"1,205.60","1,260.80","1,204.60","1,247.90","1,247.90",995
12-02-2016,"1,247.80","1,247.80","1,233.50","1,239.10","1,239.10",250
15-02-2016,-,-,-,-,-,-
16-02-2016,"1,233.10","1,233.60","1,193.60","1,207.90","1,207.90",422
17-02-2016,"1,196.50","1,212.90","1,196.50","1,211.10","1,211.10",53
18-02-2016,"1,209.60","1,239.20","1,201.60","1,226.10","1,226.10",315
19-02-2016,"1,230.80","1,232.80","1,221.80","1,230.40","1,230.40",76
22-02-2016,"1,226.10","1,226.10","1,203.00","1,209.50","1,209.50",280
23-02-2016,"1,207.40","1,226.10","1,207.40","1,222.30","1,222.30",351
24-02-2016,"1,230.00","1,250.10","1,230.00","1,238.70","1,238.70",111
